# 0 - Not Updated,
# 1 - No Change / Ok,
# 2 - Changed / Nok,
# 3 - Not Applicable,
DATE,SHIFT,MAN_1,MAN_2,MAN_3,MAN_4,MAN_5,MAN_6,MAN_7,MAN_8,MAN_9,MAN_10,MAN_11,MAN_12,MAN_13,MAN_14,MAN_15,MAN_16,MAN_17,MAN_18,MAN_19,MAN_20,MAN_21,MAN_22,MAN_23,MAN_24,MAN_25,MAN_26,MAN_27,MAN_28,MAN_29,MAN_30,MAN_31,MACHINE_1,MACHINE_2,MACHINE_3,MACHINE_4,MACHINE_5,MACHINE_6,MACHINE_7,MACHINE_8,MACHINE_9,MACHINE_10,MACHINE_11,MACHINE_12,MACHINE_13,MACHINE_14,MACHINE_15,MACHINE_16,MACHINE_17,MACHINE_18,MACHINE_19,MACHINE_20,MACHINE_21,MACHINE_22,MACHINE_23,MACHINE_24,MACHINE_25,MACHINE_26,MACHINE_27,MACHINE_28,MACHINE_29,MACHINE_30,MACHINE_31,MATERIAL_1,MATERIAL_2,MATERIAL_3,MATERIAL_4,MATERIAL_5,MATERIAL_6,MATERIAL_7,MATERIAL_8,MATERIAL_9,MATERIAL_10,MATERIAL_11,MATERIAL_12,MATERIAL_13,MATERIAL_14,MATERIAL_15,MATERIAL_16,MATERIAL_17,MATERIAL_18,MATERIAL_19,MATERIAL_20,MATERIAL_21,MATERIAL_22,MATERIAL_23,MATERIAL_24,MATERIAL_25,MATERIAL_26,MATERIAL_27,MATERIAL_28,MATERIAL_29,MATERIAL_30,MATERIAL_31,METHOD_1,METHOD_2,METHOD_3,METHOD_4,METHOD_5,METHOD_6,METHOD_7,METHOD_8,METHOD_9,METHOD_10,METHOD_11,METHOD_12,METHOD_13,METHOD_14,METHOD_15,METHOD_16,METHOD_17,METHOD_18,METHOD_19,METHOD_20,METHOD_21,METHOD_22,METHOD_23,METHOD_24,METHOD_25,METHOD_26,METHOD_27,METHOD_28,METHOD_29,METHOD_30,METHOD_31,SPR4.1_BB_10,SPR4.1_BB_20,SPR4.1_BB_30,SPR4.1_BB_40,SPR4.1_BB_50,SPR4.1_BB_60,SPR4.1_BB_70,SPR4.1_BB_80,SPR4.1_BB_90,SPR4.1_BB_100,SPR4.1_BB_110,SPR4.1_BB_120,SPR4.1_BB_130,SPR4.1_BB_140,SPR4.1_BB_150,SPR4.1_BB_160,SPR4.1_BB_170,SPR4.1_BB_180,SPR4.1_3PGA1_150,SPR4.1_3PGA1_160,SPR4.1_3PGA1_170,SPR4.1_3PGA1_180,SPR4.1_3PGA1_190,SPR4.1_3PGA1_200,SPR4.1_3PGA1_210,SPR4.1_3PGA1_220,SPR4.1_3PGA2_160,SPR4.1_3PGA2_170,SPR4.1_3PGA2_180,SPR4.1_3PGA2_190,SPR4.1_3PGA2_200,SPR4.1_3PGA2_210,SPR4.1_3PGA2_220,MSIL_BB_10,MSIL_BB_20,MSIL_BB_30,MSIL_BB_40,MSIL_BB_50,MSIL_3PGA_60,MSIL_3PGA_60B,MSIL_3PGA_70,MSIL_3PGA_80,MSIL_3PGA_90,MSIL_3PGA_100,MSIL_3PGA_110,MSIL_3PGA_120,MSIL_3PGA_130,NFS1_BB_10,NFS1_BB_20,NFS1_BB_30,NFS1_BB_40,NFS1_BB_50,NFS1_BB_60,NFS1_BB_70,NFS1_BB_80,NFS1_BB_90,NFS1_BB_100,NFS1_3PGA_110,NFS1_3PGA_120,NFS1_3PGA_130,NFS1_3PGA_140,NFS1_3PGA_150,NFS1_3PGA_160,NFS1_3PGA_170,NFS1_3PGA_180,NFS1_3PGA_190,NFS1_3PGA_200,NFS1_3PGA_210,NFS1_3PGA_220,NFS1_3PGA_230,OFS1_BB_Q-01,OFS1_BB_Q-02,OFS1_BB_Q-03,OFS1_BB_Q-04,OFS1_BB_Q-05,OFS1_BB_Q-06,OFS1_BB_Q-07,OFS1_BB_Q-08,OFS1_BB_Q-09,OFS1_3PGA1_Q-10,OFS1_3PGA1_Q-11,OFS1_3PGA1_Q-12,OFS1_3PGA1_Q-13,OFS1_3PGA1_Q-14,OFS1_3PGA1_Q-15,OFS1_3PGA2_Q-11,OFS1_3PGA2_Q-12,OFS1_3PGA2_Q-13,OFS1_3PGA2_Q-14,OFS1_3PGA2_Q-15,OFS1_3PGA3_Q-16,OFS1_3PGA3_Q-17,GIMBAL_10,GIMBAL_20,GIMBAL_30,GIMBAL_40,GIMBAL_50,GIMBAL_60A,GIMBAL_60B,GIMBAL_65,GIMBAL_70,GIMBAL_80,GIMBAL_85,GIMBAL_90,GIMBAL_100,GIMBAL_110,GIMBAL_120,GIMBAL_130,HONDA_3PGA_100,HONDA_3PGA_110,HONDA_3PGA_110B,HONDA_3PGA_120,HONDA_3PGA_130,HONDA_3PGA_140,HONDA_3PGA_150,HONDA_3PGA_160,4.0_10,4.0_20,4.0_30,4.0_40,4.0_50,4.0_60,4.0_70,4.0_80,4.0_90,4.0_100,4.0_110,4.0_120,4.0_130,4.0_140,4.0_150,4.0_160,4.0_170,4.0_180,3.0_L-01,3.0_L-02,3.0_L-03,3.0_L-04,3.0_L-05,3.0_L-06,3.0_L-07,3.0_L-08,3.0_L-09,3.0_L-10A,3.0_L-10B,3.0_L-11,3.5MS_B-01,3.5MS_B-02,3.5MS_B-03,3.5MS_B-04,3.5MS_B-05,3.5MS_B-06,3.5MS_B-07,3.5MS_B-08,3.5M_BB_A-01,3.5M_BB_A-02,3.5M_BB_A-03,3.5M_BB_A-04,3.5M_BB_A-05,3.5M_BB_A-06,3.5M_BB_A-07,3.5M_3PGA1_AA-08,3.5M_3PGA1_AB-08,3.5M_3PGA1_AA-09,3.5M_3PGA1_AB-09,3.5M_3PGA1_AA-10,3.5M_3PGA1_AB-10,3.5M_3PGA2_A-11,3.5M_3PGA2_A-12,3.5M_3PGA2_AC-12,3.5M_3PGA2_AC-13,3.5M_3PGA2_AB-11,3.5M_3PGA2_AB-12,3.5M_3PGA2_AC-13,3.5M_3PGA3_AB-11,3.5M_3PGA3_AB-12,3.5M_3PGA3_AC-13,ABL_HEAD1_10,ABL_HEAD1_20,ABL_HEAD1_30,ABL_HEAD1_40,ABL_HEAD1_50,ABL_HEAD1_60,ABL_HEAD1_70,ABL_HEAD1_80,ABL_HEAD1_90,ABL_HEAD1_100,ABL_HEAD1_110,ABL_HEAD1_120,ABL_HEAD1_130,ABL_HEAD1_140,ABL_HEAD1_150,ABL_HEAD1_160,ABL_HEAD1_170,ABL_HEAD1_180,ABL_HEAD1_190,ABL_HEAD1_200,ABL_HEAD2_05,ABL_HEAD2_10,ABL_HEAD2_20,ABL_HEAD2_30,ABL_HEAD2_40,ABL_HEAD2_50,ABL_HEAD2_60,ABL_HEAD2_70,ABL_HEAD2_80,ABL_HEAD2_90,ABL_HEAD2_100,ABL_HEAD2_110,ABL_HEAD2_120,ABL_HEAD2_130,ABL_HEAD2_140,ABL_HEAD2_150,ABL_HEAD2_160,ABL_HEAD2_170,ABL_HEAD2_180,ABL_FINAL1_210,ABL_FINAL1_220,ABL_FINAL1_230,ABL_FINAL1_240,ABL_FINAL1_250,ABL_FINAL2_190,ABL_FINAL2_200,ABL_FINAL2_210,ABL_FINAL2_220,ABL_FINAL2_230,OBL_C-01,OBL_C-02,OBL_C-03,OBL_C-03A,OBL_C-04,OBL_C-05,OBL_C-06,OBL_C-07,OBL_C-08,OBL_C-09,OBL_C-10,NBL_10,NBL_20,NBL_30,NBL_30A,NBL_40,NBL_50,NBL_60,NBL_70,NBL_80,NBL_90,NBL_100,NBL_110,NBL_120,WEB_CUTTING_F-01,WEB_CUTTING_F-02,WEB_CUTTING_F-03,WEB_CUTTING_F-04,ORBITAL_10,ORBITAL_20,APT_10,APT_20,APT_30,HA_10,HA_20,HA_30,HA_40,HA_FSTNR_05,BKL-4_210,BKL-4_240,MAGNET_EJEC_ASSY_40,SB_FSTNR_SUB_ASSY_1,SB_FSTNR_SUB_ASSY_2,BKL_FSTNR_SUB_ASSY_1,BKL_FSTNR_SUB_ASSY_2
21-09-2022,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-09-2022,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
